,Fintech,S&P500,NASDAQ,EMCLOUD
2023-01-20,339.88%,92.95%,135.23%,321.35%
2023-01-23,370.19%,95.24%,139.96%,335.83%
2023-01-24,362.64%,95.10%,139.32%,353.95%
2023-01-25,399.49%,95.07%,138.88%,348.69%
2023-01-26,412.39%,97.21%,143.08%,349.18%
2023-01-27,428.40%,97.71%,145.39%,363.06%
2023-01-30,395.91%,95.14%,140.58%,374.06%
2023-01-31,413.33%,98.00%,144.60%,361.62%
2023-02-01,421.54%,100.07%,149.50%,372.96%
2023-02-02,446.71%,103.01%,157.62%,394.67%
2023-02-03,436.66%,100.91%,153.52%,419.35%
2023-02-06,425.32%,99.67%,151.00%,402.52%
2023-02-07,423.70%,102.24%,155.78%,390.58%
2023-02-08,412.16%,100.00%,151.49%,400.85%
2023-02-09,406.59%,98.24%,148.93%,396.53%
2023-02-10,391.75%,98.67%,147.42%,386.89%
2023-02-13,395.79%,100.95%,151.09%,377.72%
2023-02-14,410.54%,100.89%,152.53%,387.87%
2023-02-15,438.54%,101.45%,154.87%,398.78%
2023-02-16,367.29%,98.67%,150.33%,414.06%
2023-02-17,353.34%,98.12%,148.88%,393.41%
2023-02-21,337.07%,94.15%,142.66%,383.91%
2023-02-22,344.63%,93.84%,142.97%,370.97%
2023-02-23,350.11%,94.88%,144.73%,377.41%
2023-02-24,349.66%,92.82%,140.60%,379.08%
2023-02-27,348.34%,93.42%,142.12%,365.70%
2023-02-28,358.69%,92.83%,141.88%,365.80%
2023-03-01,352.23%,91.92%,140.27%,367.92%
2023-03-02,363.70%,93.37%,142.04%,361.87%
2023-03-03,381.59%,96.50%,146.81%,371.36%
2023-03-06,387.36%,96.63%,146.53%,389.69%
2023-03-07,380.55%,93.62%,143.46%,384.87%
2023-03-08,385.56%,93.89%,144.42%,380.90%
2023-03-09,373.26%,90.31%,139.41%,379.66%
2023-03-10,359.69%,87.56%,135.19%,363.28%
2023-03-13,359.05%,87.27%,136.25%,339.41%
2023-03-14,384.66%,90.36%,141.30%,344.49%
2023-03-15,380.28%,89.03%,141.43%,352.87%
2023-03-16,391.45%,92.35%,147.41%,355.66%
2023-03-17,387.84%,90.23%,145.57%,365.73%
2023-03-20,381.38%,91.93%,146.52%,358.88%
2023-03-21,398.10%,94.42%,150.42%,355.35%
2023-03-22,386.22%,91.22%,146.41%,370.37%
2023-03-23,383.64%,91.79%,148.89%,354.57%
2023-03-24,375.71%,92.87%,149.66%,361.18%
2023-03-27,381.00%,93.19%,148.49%,356.68%
2023-03-28,375.51%,92.88%,147.38%,359.08%
2023-03-29,396.95%,95.63%,151.82%,356.27%
2023-03-30,402.48%,96.75%,153.66%,365.44%
2023-03-31,418.40%,99.59%,158.06%,370.04%
2023-04-03,420.13%,100.33%,157.38%,389.52%
2023-04-04,419.85%,99.16%,156.04%,381.80%
2023-04-05,396.49%,98.67%,153.31%,378.73%
2023-04-06,394.98%,99.38%,155.23%,360.94%
2023-04-10,392.28%,99.58%,155.16%,364.47%
2023-04-11,389.90%,99.57%,154.05%,363.94%
2023-04-12,387.84%,98.74%,151.88%,362.93%
2023-04-13,396.12%,101.38%,156.89%,360.04%
2023-04-14,401.67%,100.96%,155.98%,368.29%
2023-04-17,421.15%,101.63%,156.71%,364.22%
2023-04-18,426.60%,101.80%,156.61%,368.79%
2023-04-19,423.99%,101.78%,156.70%,370.43%
2023-04-20,415.11%,100.58%,154.63%,367.57%
2023-04-21,421.11%,100.76%,154.91%,360.64%
2023-04-24,416.17%,100.93%,154.16%,364.54%
2023-04-25,396.89%,97.76%,149.14%,354.90%
2023-04-26,397.12%,97.00%,150.30%,334.24%
2023-04-27,405.66%,100.85%,156.38%,339.82%
2023-04-28,417.12%,102.51%,158.16%,343.92%
2023-05-01,410.86%,102.43%,157.86%,339.60%
2023-05-02,403.52%,100.09%,155.08%,337.84%
2023-05-03,405.30%,98.69%,153.91%,324.91%
2023-05-04,492.83%,97.25%,152.67%,318.43%
2023-05-05,531.99%,100.90%,158.35%,323.68%
2023-05-08,555.74%,100.99%,158.80%,332.26%
2023-05-09,552.11%,100.07%,157.17%,339.73%
2023-05-10,547.14%,100.96%,159.85%,339.21%
2023-05-11,544.34%,100.62%,160.31%,348.97%
2023-05-12,531.07%,100.31%,159.39%,346.12%
2023-05-15,531.59%,100.90%,161.09%,340.42%
2023-05-16,516.70%,99.62%,160.62%,355.42%
2023-05-17,526.20%,101.99%,163.95%,349.24%
2023-05-18,528.96%,103.90%,167.92%,361.45%
2023-05-19,521.04%,103.60%,167.27%,371.28%
2023-05-22,537.63%,103.63%,168.59%,368.52%
2023-05-23,498.88%,101.35%,165.21%,381.43%
2023-05-24,505.38%,99.88%,163.60%,375.10%
2023-05-25,489.52%,101.63%,168.12%,376.61%
2023-05-26,509.62%,104.26%,173.98%,371.65%
2023-05-30,490.64%,104.26%,174.86%,383.59%
2023-05-31,478.93%,103.01%,173.12%,392.15%
2023-06-01,487.00%,105.01%,176.62%,402.64%
2023-06-02,490.41%,107.99%,179.57%,401.37%
2023-06-05,510.28%,107.58%,179.33%,407.12%
2023-06-06,541.61%,108.07%,180.33%,410.51%
2023-06-07,494.75%,107.27%,176.71%,423.54%
2023-06-08,488.78%,108.55%,179.53%,411.26%
2023-06-09,509.50%,108.79%,179.96%,413.14%
2023-06-12,545.17%,110.74%,184.24%,415.30%
2023-06-13,528.34%,112.20%,186.60%,426.80%
2023-06-14,549.10%,112.38%,187.72%,437.06%
2023-06-15,552.37%,114.96%,191.02%,433.54%
2023-06-16,536.58%,114.17%,189.05%,444.29%
2023-06-20,532.31%,113.16%,188.58%,436.20%
2023-06-21,523.83%,112.04%,185.09%,428.30%
2023-06-22,530.98%,112.83%,187.81%,412.88%
2023-06-23,532.34%,111.20%,184.89%,414.63%
2023-06-26,519.23%,110.25%,181.58%,407.60%
2023-06-27,519.35%,112.66%,186.22%,401.82%
2023-06-28,530.43%,112.58%,186.98%,412.03%
2023-06-29,517.55%,113.53%,186.98%,419.78%
2023-06-30,529.11%,116.15%,191.13%,418.73%
2023-07-03,527.44%,116.41%,191.74%,423.50%
2023-07-05,534.98%,115.98%,191.21%,423.22%
2023-07-06,500.92%,114.27%,188.83%,420.62%
2023-07-07,498.85%,113.66%,188.44%,411.40%
2023-07-10,489.91%,114.17%,188.96%,413.30%
2023-07-11,501.48%,115.61%,190.55%,426.77%
2023-07-12,527.88%,117.21%,193.89%,437.33%
2023-07-13,566.45%,119.05%,198.53%,441.32%
2023-07-14,550.78%,118.83%,198.01%,456.41%
2023-07-17,556.72%,119.67%,200.78%,447.64%
2023-07-18,546.56%,121.23%,203.07%,459.50%
2023-07-19,556.17%,121.76%,203.16%,464.71%
2023-07-20,529.01%,120.26%,196.94%,466.11%
2023-07-21,531.26%,120.33%,196.30%,445.79%
2023-07-24,533.63%,121.22%,196.85%,443.75%
2023-07-25,520.38%,121.84%,198.66%,441.19%
2023-07-26,516.60%,121.81%,198.29%,446.77%
2023-07-27,517.43%,120.38%,196.66%,449.18%
2023-07-28,528.09%,122.56%,202.29%,439.87%
2023-07-31,546.71%,122.88%,202.91%,452.89%
2023-08-01,537.48%,122.29%,201.60%,469.06%
2023-08-02,511.40%,119.21%,195.04%,464.96%
2023-08-03,481.77%,118.66%,194.75%,437.93%
2023-08-04,477.98%,117.50%,193.69%,437.69%
2023-08-07,471.19%,119.46%,195.49%,433.87%
2023-08-08,463.29%,118.53%,193.16%,434.43%
2023-08-09,459.24%,117.00%,189.74%,417.80%
2023-08-10,472.96%,117.05%,190.07%,411.63%
2023-08-11,459.68%,116.82%,188.11%,413.04%
2023-08-14,455.54%,118.06%,191.14%,414.17%
2023-08-15,444.90%,115.55%,187.81%,417.62%
2023-08-16,441.76%,113.92%,184.51%,409.61%
2023-08-17,423.44%,112.27%,181.18%,406.21%
2023-08-18,438.10%,112.24%,180.63%,396.67%
2023-08-21,436.13%,113.70%,185.00%,400.50%
2023-08-22,444.59%,113.10%,185.17%,403.65%
2023-08-23,447.52%,115.46%,189.71%,404.48%
2023-08-24,429.98%,112.56%,184.29%,411.97%
2023-08-25,434.29%,113.98%,186.96%,398.50%
2023-08-28,443.47%,115.32%,189.38%,403.40%
2023-08-29,471.67%,118.45%,194.42%,403.24%
2023-08-30,482.15%,119.29%,196.01%,412.63%
2023-08-31,546.46%,118.94%,196.34%,418.64%
2023-09-01,562.11%,119.33%,196.28%,427.12%
2023-09-05,554.41%,118.41%,196.05%,432.54%
2023-09-06,550.17%,116.89%,192.91%,432.64%
2023-09-07,545.24%,116.19%,190.30%,430.65%
2023-09-08,529.74%,116.50%,190.57%,426.80%
